요양기관명,우편번호,주소,전화번호
안민의원,2197,서울특별시 중랑구 겸재로 180,02-493-7800
인제의원,3350,서울특별시 은평구 연서로 246 7층 701호,02-359-8381
녹십자의원,3397,서울특별시 은평구 통일로 719 2층 (대조동),02-355-1487
경성의원,6928,서울특별시 동작구 노량진로8길 3 (노량진동),02-815-4709
협동의원,8322,서울특별시 구로구 구로동로 35 (가리봉동),02-855-5050
신내과의원,6099,서울특별시 강남구 학동로 342 408호 (논현동),02-545-1287
박춘식산부인과의원,8772,서울특별시 관악구 난곡로 274 (신림동),02-854-6715
김정묵내과의원,7301,서울특별시 영등포구 영등포로36길 6 (영등포동4가),02-2678-0866
최정학외과의원,8735,서울특별시 관악구 관악로 248 (봉천동),02-877-1267
박현태내과의원,6307,서울특별시 강남구 개포로 224 준빌딩 (개포동),
조내과의원,5292,서울특별시 강동구 양재대로 1626 (명일동),02-3426-6364
박효대내과의원,3044,서울특별시 종로구 자하문로2길 4 2층 203호 (적선동 경복빌딩),02-733-5956
문형한내과의원,8030,서울특별시 양천구 신월로 179 (신월동),
세조의원,2810,서울특별시 성북구 종암로 93 2층 (종암동),02-923-4159
최두혁내과의원,5373,서울특별시 강동구 천호대로 1124 (성내동),02-472-7007
해오름소아청소년과의원,7547,서울특별시 강서구 양천로 583 119호 (염창동 우림블루나인비즈니스센터),02-3663-7722
신경란의원,4414,서울특별시 용산구 우사단로 2-1 신진약국 신경란의원 (보광동),02-795-3495
이원경내과의원,6320,서울특별시 강남구 개포로 303 (개포동 현대1차아파트상가 203호),
김정훈내과의원,5566,서울특별시 송파구 삼전로 99 (잠실동 2층),02-421-8067
정시전내과의원,2833,서울특별시 성북구 동소문로 3-1 지상3층 (동소문동1가),02-3676-1770
이상윤의원,2131,서울특별시 중랑구 봉우재로 40,02-437-6632
김정기내과의원,7395,서울특별시 영등포구 신길로 141 지하1층 (신길동),02-833-1597
고광송일반외과의원,8234,서울특별시 구로구 고척로 148 (고척동),02-2684-7170
박성휘내과의원,8849,서울특별시 관악구 난곡로 264 3층 302호 (신림동 난곡프라자),02-855-1100
이내과의원,4045,서울특별시 마포구 양화로 64 3층 (서교동 서교제일빌딩),02-332-1708
서울삼양의원,1189,서울특별시 강북구 삼양로 191 (미아동),02-988-3650
원일한상룡내과의원,7302,서울특별시 영등포구 영중로8길 6 (영등포동3가),02-2678-0105
대남의원,4332,서울특별시 용산구 후암로 45-1 (후암동 대남의원),02-754-4414
김예원내과의원,7333,서울특별시 영등포구 국제금융로 70 (여의도동 미원빌딩),02-784-9090
참사랑의원,1601,서울특별시 노원구 누원로 22 크로바 프라자 203호,02-933-7575
황내과의원,8814,서울특별시 관악구 신림로11길 9 2층 (신림동),02-885-5348
한진우의원,5615,서울특별시 송파구 백제고분로 349 가동 2층 (석촌동),02-418-1470
최소아과의원,1909,서울특별시 노원구 마들로 111 (월계동),02-976-2474
이창훈내과의원,5758,서울특별시 송파구 마천로51길 2 (마천동 3층 4층),02-448-7577
한영의원,8716,서울특별시 관악구 은천로 39 1~2층 (봉천동),02-877-5254
성모의원,3396,서울특별시 은평구 통일로 749 (대조동),02-355-0203
혜성내과의원,5335,서울특별시 강동구 천호대로157길 6 (천호동),02-486-6056
허성욱내과의원,2624,서울특별시 동대문구 장한로 119 301호 (장안동),02-2249-5525
김영철내과의원,6199,서울특별시 강남구 역삼로 406 (대치동),02-566-6004
양석원내과의원,6952,서울특별시 동작구 상도로 97 (상도동),02-814-4558
윤내과의원,8793,서울특별시 관악구 남부순환로 1944 (봉천동),02-877-0287
서부성심의원,3404,서울특별시 은평구 진흥로 91 1층 (역촌동),02-386-1070
이내숙의원,2483,서울특별시 동대문구 제기로 84 (제기동),02-965-2216
푸른소아청소년과의원,5816,서울특별시 송파구 충민로2길 28 (장지동 대진프라자 304호),02-429-4800
연세필의원,8263,서울특별시 구로구 경인로 31-28 (온수동),02-2619-3130
성동고려의원,5103,서울특별시 광진구 자양로 43 (자양동),02-453-1102
김내과의원,2161,서울특별시 중랑구 겸재로 185 (면목동),02-435-9171
연세열린의원,3499,서울특별시 은평구 증산로 297 201호 (증산동 청록빌딩),02-306-3007
정내과의원,8305,서울특별시 구로구 구로중앙로 10 정내과 (구로동),02-866-0356
서부성모의원,3365,서울특별시 은평구 불광로 60 2층 201호 (불광동),02-385-9730
김혜근의원,8762,서울특별시 관악구 조원로 128 2층 (신림동),02-857-2777
윤명진윤나리내과의원,2428,서울특별시 동대문구 휘경로 49 2층 (휘경동),02-960-3577
서울하나의원,1192,서울특별시 강북구 솔샘로 184 107 108호 (미아동 SK북한산시티아파트주상가),02-986-7511
세명내과의원,6972,서울특별시 동작구 서달로 163 3층 (흑석동 세명빌딩),02-825-1065
배용표내과의원,1041,서울특별시 강북구 삼양로 420 (수유동 배용표내과),02-999-7543
이수양내과의원,8271,서울특별시 구로구 경인로 216 3층일부 (오류동),02-2687-2074
이재일내과의원,4214,서울특별시 마포구 만리재로 15 3층 (공덕동 제일빌딩),02-702-3436
김오경내과의원,5237,서울특별시 강동구 고덕로 109 (암사동),02-441-5750
동부외과의원,2250,서울특별시 중랑구 사가정로 404-6 2 3층 (면목동),02-494-1004
이계자소아청소년과의원,1382,서울특별시 도봉구 방학로 223 (방학동 신동아상가),02-956-0442
김영주내과의원,1779,서울특별시 노원구 섬밭로 258 221-223호 (중계동 브라운스톤중계),
아름다운소아청소년과의원,8078,서울특별시 양천구 신정로 293 (신정동 신트리1단지아파트),02-2697-6697
박노준산부인과의원,5334,서울특별시 강동구 구천면로 238 (천호동),02-483-3600
유덕기내과의원,1384,서울특별시 도봉구 방학로 183 3층 (방학동 거구빌딩),02-956-9831
구소아청소년과의원,1671,서울특별시 노원구 한글비석로 474 2층 202호 (상계동 보람상가),02-934-3724
신동아의원,1362,서울특별시 도봉구 시루봉로 105 (방학동),02-954-1857
이광언내과의원,1051,서울특별시 강북구 노해로 118 (수유동 이광원내과),02-908-1118
김지호산부인과의원,1662,서울특별시 노원구 덕릉로83길 10 2/3층 (중계동),
위앤장이원표내과의원,1762,서울특별시 노원구 동일로215길 2 302호 (상계동 다모아상가),
최대홍내과의원,4760,서울특별시 성동구 마조로 25 (행당동),02-2292-2754
